页面编号	字段编号	完整编号	中文	译文
101	001	101001	记录	History
101	002	101002	资产	Assets
101	003	101003	简体中文	简体中文
101	004	101004	资产安全等级：	Safety Level:
101	005	101005	高	High
101	006	101006	总资产：	Account Balance:
101	007	101007	现金钱包：	Available:
101	008	101008	抵押物钱包：	Collateral:
101	009	101009	{4}笔交易正在确认中...	Confirming {4} trade(s)...
101	010	101010	负债	Loans
101	011	101011	未还本金：	Outstanding Principal:
101	012	101012	当前在贷订单：	Current loans:
101	013	101013	最近订单到期日：	Scheduled Due Date:
101	014	101014	{7}笔	{7}
101	015	101015	{2}笔订单已逾期...	{2} loan(s) overdue...
101	016	101016	订单管理	Manage Loans
101	017	101017	已逾期{16}天	{16} day(s) overdue
101	019	101019	距离清偿还剩{5}天	Liquidation starts in {5} day(s)
101	020	101020	查看更多	View more
101	021	101021	清偿中...	Liquidating...
101	022	101022	立即还款	Repay Now
101	023	101023	借入价格：	Loan Price:
101	024	101024	当前价格：	Current Price:
101	025	101025	待还金额	Amount Due
101	026	101026	最后还款日	Last Repayment
101	027	101027	借贷	Get a Loan
101	028	101028	抵押	Collateral
101	029	101029	借出	Loan
101	030	101030	添加资产	Add Assets
101	031	101031	期限：	Term:
101	032	101032	日利率：	Daily Interest Rate:
101	033	101033	到期应还：	Amount due:
101	034	101034	{30}日	{30} days
101	035	101035	万{2.5}	{0.025%}
101	036	101036	去借款	Get a Loan
101	037	101037	信用分：	Credit Score: 
101	038	101038	中	Medium
101	039	101039	低	Low
101	040	101040	我已阅读并同意	I have read and agree to the 
101	041	101041	您的资产安全等级=抵押物价值（USDT）/在贷本金价值（USDT） 当您的安全等级下降时，请及时还款或补充抵押物，否则我们将对您的抵押物进行清偿	Your asset security level = Collateral value (USDT) / Loan principle value (USDT)  Please repay on time or add more collateral when your security level is low, otherwise your collateral will be liquidated.
101	042	101042	《质押借款协议》	Loan Agreement
102	001	102001	借款记录	Loan History
102	002	102002	还款记录	Repayment History
102	003	102003	交易记录	Transaction History
102	004	102004	账号安全	Account Security
102	005	102005	身份认证	Identity Verification
102	006	102006	退出	Log out
103	001	103001	风险提示	Risk Warning
103	002	103002	您的资产当前有被清偿的风险，请及时还款或补充抵押物，以提高您的资产安全等级	Your assets might be liquidated. Please repay your loans or add collateral to increase your asset security level.
103	003	103003	去还款	Repay Now
103	004	103004	补充抵押物	Add Collateral
104	001	104001	清偿提示	Liquidation Notice
104	002	104002	您的资产已于{7月10}日被清偿	Your assets have been liquidated on {July 10}
104	003	104003	查看详情	View Details
105	001	105001	借贷前请先进行身份认证，	Please verify your identity before applying for a loan. 
105	002	105002	立即身份认证	Verify now
200	001	200001	抵押物钱包资产	Collateral Assets
200	002	200002	补充抵押物，可以减少市场波动带来的清偿风险。	Adding collateral can reduce the risk of liquidation caused by market volatility.
200	003	200003	现金钱包资产	Available Assets
200	004	200004	交易记录	Transaction History
200	005	200005	总资产共	Total Assets
200	006	200006	现金钱包	Available
200	007	200007	抵押物钱包	Collateral
200	008	200008	搜索	Search
200	009	200009	隐藏资产为0的币种	Hide currencies with 0 assets
200	010	200010	币种	Currency
200	011	200011	总额	Total Amount
200	0122	200122	抵押中	Pledging Collateral
200	013	200013	操作	Actions
200	014	200014	补充	Add
200	015	200015	赎回	Redeem
200	016	200016	抵押物正在补充，请等待区块确认后进行赎回。您可在"交易记录"中查看进度。	The collateral is being added. Please redeem it after it is confirmed by the blocks. You can check the progress in Transaction History.
200	017	200017	{BTC}只能同时发起一笔赎回，请等待区块确认。	Only one {BTC} amount can be redeemed at a time, please wait for the blocks to confirm.
200	018	200018	需补充：	Need to add:
201	001	201001	闪兑	Exchange
201	002	201002	{USDT}只能同时提现一笔，请等待区块确认，您可在“交易记录”中查看进度。	Only one {USDT} amount can be withdrawn at a time. Please wait for the block to confirm. You can check the progress in Transaction History.
201	003	201003	{BTC}只能同时提现一笔，请等待区块确认，您可在“交易记录”中查看进度。	Only one {BTC} amount can be withdrawn at a time. Please wait for the block to confirm. You can check the progress in Transaction History.
201	004	201004	充值中	Depositing
201	005	201005	提现中	Withdrawing
201	006	201006	可赎回	Balance
201	007	201007	提现	Withdraw
201	008	201008	充值	Deposit
202	001	202001	正在生成中，请稍后重试…	Creating wallet address, please try again later...
203	001	203001	您正在进行{ETH}充值操作	{ETH} Deposit 
203	002	203002	{ETH}钱包地址	{ETH} wallet address
203	003	203003	复制	Copy
203	004	203004	确定	Confirm
204	001	204001	您正在进行{ETH}提现操作	{ETH} Withdrawal
204	002	204002	提现金额	Amount
204	003	204003	钱包地址	Wallet Address
204	004	204004	全部提现	Withdraw All
204	005	204005	提现	Withdraw
204	006	204006	最多提现	Maximum
204	007	204007	谷歌验证	Google Authenticator
204	009	204009	忘记密码	Forgot password
204	0100	204100	如何使用	How to use it
204	011	204011	资金密码	Fund Password
204	012	204012	更改绑定	Change Binding
204	013	204013	短信验证	SMS Verification
204	014	204014	邮箱验证	Email Verification
204	015	204015	发送验证码	Send
204	016	204016	请先设置交易密码	Please set the Transaction Password first.
204	017	204017	请输入BTC地址	Please enter BTC address
205	001	205001	*您输入的密码有误	*Wrong password
205	002	205002	{50}s后重新获取	Send again in {50}s 
205	003	205003	重新发送	Resend
205	004	205004	金额不能为空	Amount required
205	005	205005	钱包地址不能为空	Wallet address required
205	006	205006	资金密码不能为空	Fund password required
205	007	205007	验证码不能为空	Verification code required
205	008	205008	提现金额不能为0	Withdrawal amount can't be 0
206	001	206001	资金密码连续5次输入错误， 为了您的安全，请重置资金密码。	You have entered a wrong fund password for 5 consecutive times. Please reset your fund password for security reasons.
206	002	206002	重置资金密码	Reset Fund Password
207	001	207001	提现可能需要30-120分钟 请耐心等待	Withdrawal may take 30-120 minutes. Please wait patiently.
208	001	208001	很抱歉，由于{系统原因}提现失败。 请发送邮件到message@libracredit.io, 我们将尽快修复。	Sorry, withdrawal failed due to {system reasons}. Please send an email to message@libracredit.io and we will fix it as soon as possible.
208	002	208002	系统原因	system reasons
208	003	208003	金额超过有效值	invalid amount
208	004	208004	金额为0	amount equaling 0
208	005	208005	地址输入错误	address input error
208	006	208006	密码错误	password error
208	007	208007	验证码错误	verification code error
209	001	209001	您正在进行补充抵押物操作	Adding collateral
209	002	209002	钱包种类	Wallet Type
209	003	209003	补充金额	Add Amount
209	004	209004	现金钱包	Available
209	005	209005	补充抵押物	Add Collateral
209	006	209006	外部钱包	External Wallet
209	007	209007	补充金额需大于0	Additional amount needs to be greater than 0
209	008	209008	请输入抵押金额	Please enter the collateral amount
209	009	209009	现金账户余额不足	Insufficient balance
210	001	210001	链上转账可能需要30-120分钟，请耐心等待	Transfer using blockchain may take 30-120 minutes, please be patient.
211	001	211001	正在生成中，请稍后重试…	Creating wallet address, please try again later...
212	001	212001	恭喜你补充抵押物成功	Congratulations, collateral  successfully added!
213	001	213001	很抱歉，由于{系统原因}补充抵押物失败。 请发送邮件到message@libracredit.io, 我们将尽快修复。	Sorry, failed to add collateral due to {system reasons}. Please send an email to message@libracredit.io and we will fix it as soon as possible.
213	002	213002	现金账户余额不足	insufficient assets available
214	001	214001	您正在进行{ETH}抵押物赎回操作	{ETH} collateral redemption
214	002	214002	赎回金额	Amount
214	003	214003	全部赎回	Redeem All
214	004	214004	赎回	Redeem
214	005	214005	赎回金额需大于0	Redemption amount must be greater than 0
214	006	214006	请输入赎回金额	Please enter the redemption amount
214	007	214007	抵押物订单超过最大金额	Collateral order exceeds maximum amount
215	001	215001	赎回可能需要2-3分钟 请耐心等待	Redemption may take 2-3 minutes. Please be patient.
216	001	216001	很抱歉，由于{系统原因}赎回失败。 请发送邮件到message@libracredit.io, 我们将尽快修复。	Sorry, redemption failed due to {system reasons}. Please send an email to message@libracredit.io and we will fix it as soon as possible.
216	002	216002	抵押物订单超过最大金额	collateral order exceeding max amount
217	001	217001	您正在进行闪兑操作	Exchange
217	002	217002	兑换币种	Currency
217	003	217003	兑换金额	Amount
217	004	217004	全部兑出	All
217	005	217005	当前余额	Current Balance:
217	006	217006	可兑换	Available
217	007	217007	兑换金额需大于0	Exchange amount must be greater than 0
217	008	217008	请输入兑换金额	Please enter exchange amount
217	009	217009	闪兑订单操作异常	Unexpected exchange error
218	001	218001	兑换币种	Currency
218	002	218002	实际换入	Amount Exchanged
218	003	218003	实际支付	Amount Paid
218	004	218004	返回	Back
219	001	219001	闪兑可能需要2-3分钟 请耐心等待	Your transaction may take 2-3 minutes. Please wait patiently.
220	001	220001	很抱歉，由于{系统原因}闪兑失败。 请发送邮件到message@libracredit.io, 我们将尽快修复。	Sorry, exchange failed due to {system reasons}. Please send an email to message@libracredit.io and we will fix it as soon as possible.
220	002	220002	闪兑订单操作异常	an unexpected error
300	001	300001	资产	Assets
